Area_Name	Year	Group_Name	Cases_Convicted	Cases_Reported
Lakshadweep	2003	Molestation	1	1
Madhya Pradesh	2003	Molestation	1609	6848
Maharashtra	2003	Molestation	164	2661
Manipur	2003	Molestation	0	44
Meghalaya	2003	Molestation	3	13
Mizoram	2003	Molestation	46	88
Nagaland	2003	Molestation	0	4
Odisha	2003	Molestation	125	1669
Puducherry	2003	Molestation	11	56
Punjab	2003	Molestation	79	346
Rajasthan	2003	Molestation	648	2715
Sikkim	2003	Molestation	6	25
Tamil Nadu	2003	Molestation	717	2022
Tripura	2003	Molestation	5	127
Uttar Pradesh	2003	Molestation	842	1098
Uttarakhand	2003	Molestation	71	136
West Bengal	2003	Molestation	40	1186
Andaman & Nicobar Islands	2004	Molestation	6	6
Andhra Pradesh	2004	Molestation	486	3817
Arunachal Pradesh	2004	Molestation	5	61
Assam	2004	Molestation	68	883
Bihar	2004	Molestation	55	704
Chandigarh	2004	Molestation	6	20
Chhattisgarh	2004	Molestation	364	1661
Dadra & Nagar Haveli	2004	Molestation	0	5
Daman & Diu	2004	Molestation	0	1
Delhi	2004	Molestation	112	601
Goa	2004	Molestation	1	23
Gujarat	2004	Molestation	25	757
Haryana	2004	Molestation	123	403
Himachal Pradesh	2004	Molestation	20	284
Jammu & Kashmir	2004	Molestation	57	990
Jharkhand	2004	Molestation	53	411
Karnataka	2004	Molestation	50	1435
Kerala	2004	Molestation	129	2260
Lakshadweep	2004	Molestation	0	0
Madhya Pradesh	2004	Molestation	1503	6690
Maharashtra	2004	Molestation	153	2831
Manipur	2004	Molestation	0	30
Meghalaya	2004	Molestation	2	34
Mizoram	2004	Molestation	80	66
Nagaland	2004	Molestation	19	3
Odisha	2004	Molestation	105	1811
Puducherry	2004	Molestation	8	50
Punjab	2004	Molestation	83	261
Rajasthan	2004	Molestation	852	2825
Sikkim	2004	Molestation	2	40
Tamil Nadu	2004	Molestation	878	1861
Tripura	2004	Molestation	12	134
Uttar Pradesh	2004	Molestation	990	1900
Uttarakhand	2004	Molestation	64	143
West Bengal	2004	Molestation	45	1566
Andaman & Nicobar Islands	2005	Molestation	0	11
Andhra Pradesh	2005	Molestation	451	3595
Arunachal Pradesh	2005	Molestation	16	67
Assam	2005	Molestation	68	899
Bihar	2005	Molestation	51	451
Chandigarh	2005	Molestation	7	31
Chhattisgarh	2005	Molestation	454	1450
Dadra & Nagar Haveli	2005	Molestation	0	5
Daman & Diu	2005	Molestation	0	1
Delhi	2005	Molestation	74	762
Goa	2005	Molestation	4	30
Gujarat	2005	Molestation	100	802
Haryana	2005	Molestation	104	380
Himachal Pradesh	2005	Molestation	31	286
Jammu & Kashmir	2005	Molestation	17	830
Jharkhand	2005	Molestation	123	293
Karnataka	2005	Molestation	52	1585
Kerala	2005	Molestation	168	2339
Lakshadweep	2005	Molestation	0	0
Madhya Pradesh	2005	Molestation	1282	6426
Maharashtra	2005	Molestation	158	3228
Manipur	2005	Molestation	0	25
Meghalaya	2005	Molestation	2	44
Mizoram	2005	Molestation	10	49
Nagaland	2005	Molestation	1	7
Odisha	2005	Molestation	72	2238
Puducherry	2005	Molestation	10	60
Punjab	2005	Molestation	41	308
Rajasthan	2005	Molestation	981	2503
Sikkim	2005	Molestation	2	38
Tamil Nadu	2005	Molestation	799	1764
Tripura	2005	Molestation	18	161
Uttar Pradesh	2005	Molestation	937	1835
Uttarakhand	2005	Molestation	27	100
West Bengal	2005	Molestation	55	1572
Andaman & Nicobar Islands	2006	Molestation	0	14
Andhra Pradesh	2006	Molestation	398	4534
Arunachal Pradesh	2006	Molestation	9	63
Assam	2006	Molestation	121	1290
Bihar	2006	Molestation	80	530
Chandigarh	2006	Molestation	6	20
Chhattisgarh	2006	Molestation	362	1598
Dadra & Nagar Haveli	2006	Molestation	1	5
Daman & Diu	2006	Molestation	0	2
Delhi	2006	Molestation	98	718
Goa	2006	Molestation	4	18
Gujarat	2006	Molestation	26	736
Haryana	2006	Molestation	115	486
Himachal Pradesh	2006	Molestation	19	275
Jammu & Kashmir	2006	Molestation	65	960
Jharkhand	2006	Molestation	62	414
Karnataka	2006	Molestation	73	1683
Kerala	2006	Molestation	231	2543
Lakshadweep	2006	Molestation	0	0
Madhya Pradesh	2006	Molestation	1184	6243
Maharashtra	2006	Molestation	168	3479
Manipur	2006	Molestation	2	42
Meghalaya	2006	Molestation	5	57
Mizoram	2006	Molestation	134	51
Nagaland	2006	Molestation	4	3
Odisha	2006	Molestation	144	2415
Puducherry	2006	Molestation	14	56
Punjab	2006	Molestation	44	314
Rajasthan	2006	Molestation	958	2582
Sikkim	2006	Molestation	1	14
Tamil Nadu	2006	Molestation	588	1179
Tripura	2006	Molestation	13	207
Uttar Pradesh	2006	Molestation	998	2096
Uttarakhand	2006	Molestation	51	153
West Bengal	2006	Molestation	119	1837
Andaman & Nicobar Islands	2007	Molestation	1	21
Andhra Pradesh	2007	Molestation	654	4406
Arunachal Pradesh	2007	Molestation	7	72
Assam	2007	Molestation	94	789
Bihar	2007	Molestation	82	853
Chandigarh	2007	Molestation	2	32
Chhattisgarh	2007	Molestation	228	1549
Dadra & Nagar Haveli	2007	Molestation	1	0
Daman & Diu	2007	Molestation	1	0
Delhi	2007	Molestation	138	868
Goa	2007	Molestation	2	20
Gujarat	2007	Molestation	27	822
Haryana	2007	Molestation	87	417
Himachal Pradesh	2007	Molestation	23	322
Jammu & Kashmir	2007	Molestation	30	986
Jharkhand	2007	Molestation	92	342
Karnataka	2007	Molestation	67	1828
Kerala	2007	Molestation	165	2624
Lakshadweep	2007	Molestation	0	2
Madhya Pradesh	2007	Molestation	1451	6772
Maharashtra	2007	Molestation	176	3306
Manipur	2007	Molestation	0	70
Meghalaya	2007	Molestation	4	45
Mizoram	2007	Molestation	56	66
Nagaland	2007	Molestation	5	8
Odisha	2007	Molestation	102	2775
Puducherry	2007	Molestation	8	89
Punjab	2007	Molestation	38	427
Rajasthan	2007	Molestation	766	2477
Sikkim	2007	Molestation	0	13
Tamil Nadu	2007	Molestation	477	1540
Tripura	2007	Molestation	24	244
Uttar Pradesh	2007	Molestation	1164	2522
Uttarakhand	2007	Molestation	90	146
West Bengal	2007	Molestation	87	2281
Andaman & Nicobar Islands	2008	Molestation	0	24
Andhra Pradesh	2008	Molestation	520	4730
Arunachal Pradesh	2008	Molestation	13	72
Assam	2008	Molestation	78	1272
Bihar	2008	Molestation	76	999
Chandigarh	2008	Molestation	1	19
Chhattisgarh	2008	Molestation	279	1621
Dadra & Nagar Haveli	2008	Molestation	0	4
Daman & Diu	2008	Molestation	0	2
Delhi	2008	Molestation	184	611
Goa	2008	Molestation	4	32
Gujarat	2008	Molestation	48	828
Haryana	2008	Molestation	97	435
Himachal Pradesh	2008	Molestation	30	295
Jammu & Kashmir	2008	Molestation	11	935
Jharkhand	2008	Molestation	43	271
Karnataka	2008	Molestation	93	1954
Kerala	2008	Molestation	184	2745
Lakshadweep	2008	Molestation	0	0
Madhya Pradesh	2008	Molestation	1971	6445
Maharashtra	2008	Molestation	180	3619
Manipur	2008	Molestation	0	57
Meghalaya	2008	Molestation	12	54
Mizoram	2008	Molestation	38	78
Nagaland	2008	Molestation	3	15
Odisha	2008	Molestation	109	2782
Puducherry	2008	Molestation	7	65
Punjab	2008	Molestation	73	388
Rajasthan	2008	Molestation	825	2520
Sikkim	2008	Molestation	3	19
Tamil Nadu	2008	Molestation	338	1705
Tripura	2008	Molestation	17	346
Uttar Pradesh	2008	Molestation	1502	2955
Uttarakhand	2008	Molestation	72	120
West Bengal	2008	Molestation	95	2396
Andaman & Nicobar Islands	2009	Molestation	0	30
Andhra Pradesh	2009	Molestation	253	5147
Arunachal Pradesh	2009	Molestation	15	58
Assam	2009	Molestation	111	1342
Bihar	2009	Molestation	68	726
Chandigarh	2009	Molestation	3	26
Chhattisgarh	2009	Molestation	291	1598
Dadra & Nagar Haveli	2009	Molestation	0	2
Daman & Diu	2009	Molestation	0	4
Delhi	2009	Molestation	200	552
Goa	2009	Molestation	3	37
Gujarat	2009	Molestation	39	727
Haryana	2009	Molestation	90	451
Himachal Pradesh	2009	Molestation	20	318
Jammu & Kashmir	2009	Molestation	82	972
Jharkhand	2009	Molestation	67	276
Karnataka	2009	Molestation	71	2186
Kerala	2009	Molestation	166	2540
Lakshadweep	2009	Molestation	0	0
Madhya Pradesh	2009	Molestation	1566	6307
Maharashtra	2009	Molestation	157	3196
Manipur	2009	Molestation	0	39
Meghalaya	2009	Molestation	3	72
Mizoram	2009	Molestation	47	61
Nagaland	2009	Molestation	8	11
Odisha	2009	Molestation	78	2697
Puducherry	2009	Molestation	4	53
Punjab	2009	Molestation	79	319
Rajasthan	2009	Molestation	633	2485
Sikkim	2009	Molestation	6	10
Tamil Nadu	2009	Molestation	393	1242
Tripura	2009	Molestation	16	384
Uttar Pradesh	2009	Molestation	1568	2782
Uttarakhand	2009	Molestation	90	119
West Bengal	2009	Molestation	85	1942
Andaman & Nicobar Islands	2010	Molestation	0	31
Andhra Pradesh	2010	Molestation	496	4634
Arunachal Pradesh	2010	Molestation	4	84
Assam	2010	Molestation	73	1400
Bihar	2010	Molestation	73	534
Chandigarh	2010	Molestation	7	29
Chhattisgarh	2010	Molestation	409	1706
Dadra & Nagar Haveli	2010	Molestation	1	11
Daman & Diu	2010	Molestation	0	2
Delhi	2010	Molestation	169	601
Goa	2010	Molestation	4	36
Gujarat	2010	Molestation	22	668
Haryana	2010	Molestation	117	476
Himachal Pradesh	2010	Molestation	17	350
Jammu & Kashmir	2010	Molestation	29	1038
Jharkhand	2010	Molestation	49	245
Karnataka	2010	Molestation	52	2544
Kerala	2010	Molestation	168	2936
Lakshadweep	2010	Molestation	0	0
Madhya Pradesh	2010	Molestation	1749	6646
Maharashtra	2010	Molestation	162	3661
Manipur	2010	Molestation	0	31
Meghalaya	2010	Molestation	3	48
Mizoram	2010	Molestation	71	75
Nagaland	2010	Molestation	9	13
Odisha	2010	Molestation	98	2905
Puducherry	2010	Molestation	7	46
Punjab	2010	Molestation	77	349
Rajasthan	2010	Molestation	550	2339
Sikkim	2010	Molestation	3	11
Tamil Nadu	2010	Molestation	508	1405
Tripura	2010	Molestation	22	376
Uttar Pradesh	2010	Molestation	1818	2793
Uttarakhand	2010	Molestation	51	125
West Bengal	2010	Molestation	81	2465
Andaman & Nicobar Islands	2001	Sexual harassment	0	1
Andhra Pradesh	2001	Sexual harassment	1120	2271
Arunachal Pradesh	2001	Sexual harassment	1	3
Assam	2001	Sexual harassment	2	4
Bihar	2001	Sexual harassment	8	21
Chandigarh	2001	Sexual harassment	5	15
Chhattisgarh	2001	Sexual harassment	87	161
Dadra & Nagar Haveli	2001	Sexual harassment	0	0
Daman & Diu	2001	Sexual harassment	0	0
Delhi	2001	Sexual harassment	35	90
Goa	2001	Sexual harassment	1	7
Gujarat	2001	Sexual harassment	6	111
Haryana	2001	Sexual harassment	379	401
Himachal Pradesh	2001	Sexual harassment	2	14
Jammu & Kashmir	2001	Sexual harassment	70	288
Jharkhand	2001	Sexual harassment	4	5
Karnataka	2001	Sexual harassment	11	81
Kerala	2001	Sexual harassment	6	81
Lakshadweep	2001	Sexual harassment	0	0
Madhya Pradesh	2001	Sexual harassment	204	751
Maharashtra	2001	Sexual harassment	26	1120
Manipur	2001	Sexual harassment	0	0
Meghalaya	2001	Sexual harassment	0	0
Mizoram	2001	Sexual harassment	0	0
Nagaland	2001	Sexual harassment	0	0
Odisha	2001	Sexual harassment	57	458
Puducherry	2001	Sexual harassment	16	27
Punjab	2001	Sexual harassment	1	47
Rajasthan	2001	Sexual harassment	35	56
Sikkim	2001	Sexual harassment	1	14
Tamil Nadu	2001	Sexual harassment	989	1012
Tripura	2001	Sexual harassment	0	0
Uttar Pradesh	2001	Sexual harassment	1601	2575
Uttarakhand	2001	Sexual harassment	48	84
West Bengal	2001	Sexual harassment	1	48
Andaman & Nicobar Islands	2002	Sexual harassment	0	3
Andhra Pradesh	2002	Sexual harassment	1159	2024
Arunachal Pradesh	2002	Sexual harassment	0	2
Assam	2002	Sexual harassment	0	7
Bihar	2002	Sexual harassment	4	6
Chandigarh	2002	Sexual harassment	13	28
Chhattisgarh	2002	Sexual harassment	157	147
Dadra & Nagar Haveli	2002	Sexual harassment	0	0
Daman & Diu	2002	Sexual harassment	0	0
Delhi	2002	Sexual harassment	34	128
Goa	2002	Sexual harassment	0	6
Gujarat	2002	Sexual harassment	6	104
Haryana	2002	Sexual harassment	1196	1424
Himachal Pradesh	2002	Sexual harassment	0	12
Jammu & Kashmir	2002	Sexual harassment	113	368
Jharkhand	2002	Sexual harassment	3	3
Karnataka	2002	Sexual harassment	2	100
Kerala	2002	Sexual harassment	14	102
Lakshadweep	2002	Sexual harassment	0	0
Madhya Pradesh	2002	Sexual harassment	171	783
Maharashtra	2002	Sexual harassment	39	769
Manipur	2002	Sexual harassment	0	0
Meghalaya	2002	Sexual harassment	0	0
Mizoram	2002	Sexual harassment	0	0
Nagaland	2002	Sexual harassment	0	0
Odisha	2002	Sexual harassment	15	188
Puducherry	2002	Sexual harassment	15	26
Punjab	2002	Sexual harassment	75	145
Rajasthan	2002	Sexual harassment	34	44
Sikkim	2002	Sexual harassment	6	0
Tamil Nadu	2002	Sexual harassment	1488	1718
Tripura	2002	Sexual harassment	0	0
Uttar Pradesh	2002	Sexual harassment	1431	1887
Uttarakhand	2002	Sexual harassment	50	97
West Bengal	2002	Sexual harassment	2	34
Andaman & Nicobar Islands	2003	Sexual harassment	0	2
Andhra Pradesh	2003	Sexual harassment	1357	2286
Arunachal Pradesh	2003	Sexual harassment	0	0
Assam	2003	Sexual harassment	2	6
Bihar	2003	Sexual harassment	11	11
Chandigarh	2003	Sexual harassment	4	4
Chhattisgarh	2003	Sexual harassment	35	105
Dadra & Nagar Haveli	2003	Sexual harassment	0	0
Daman & Diu	2003	Sexual harassment	0	0
Delhi	2003	Sexual harassment	53	105
Goa	2003	Sexual harassment	1	7
Gujarat	2003	Sexual harassment	8	92
Haryana	2003	Sexual harassment	1119	1302
Himachal Pradesh	2003	Sexual harassment	1	18
Jammu & Kashmir	2003	Sexual harassment	137	376
Jharkhand	2003	Sexual harassment	0	2
Karnataka	2003	Sexual harassment	18	84
Kerala	2003	Sexual harassment	11	68
Lakshadweep	2003	Sexual harassment	0	0
Madhya Pradesh	2003	Sexual harassment	229	705
Maharashtra	2003	Sexual harassment	38	682
Manipur	2003	Sexual harassment	0	0
Meghalaya	2003	Sexual harassment	0	1
Mizoram	2003	Sexual harassment	0	0
Nagaland	2003	Sexual harassment	0	2
Odisha	2003	Sexual harassment	36	188
Puducherry	2003	Sexual harassment	6	27
Punjab	2003	Sexual harassment	51	199
Rajasthan	2003	Sexual harassment	13	33
Sikkim	2003	Sexual harassment	0	0
Tamil Nadu	2003	Sexual harassment	474	881
Tripura	2003	Sexual harassment	0	0
Uttar Pradesh	2003	Sexual harassment	2321	4970
Uttarakhand	2003	Sexual harassment	79	98
West Bengal	2003	Sexual harassment	6	71
Andaman & Nicobar Islands	2004	Sexual harassment	0	3
Andhra Pradesh	2004	Sexual harassment	739	2310
Arunachal Pradesh	2004	Sexual harassment	0	0
Assam	2004	Sexual harassment	2	11
Bihar	2004	Sexual harassment	3	13
Chandigarh	2004	Sexual harassment	4	18
Chhattisgarh	2004	Sexual harassment	80	131
Dadra & Nagar Haveli	2004	Sexual harassment	0	0
Daman & Diu	2004	Sexual harassment	0	0
Delhi	2004	Sexual harassment	40	130
Goa	2004	Sexual harassment	0	15
Gujarat	2004	Sexual harassment	13	164
Haryana	2004	Sexual harassment	833	850
Himachal Pradesh	2004	Sexual harassment	1	16
Jammu & Kashmir	2004	Sexual harassment	80	264
Jharkhand	2004	Sexual harassment	0	3
Karnataka	2004	Sexual harassment	70	57
Kerala	2004	Sexual harassment	20	133
Lakshadweep	2004	Sexual harassment	0	0
Madhya Pradesh	2004	Sexual harassment	205	804
Maharashtra	2004	Sexual harassment	13	862
Manipur	2004	Sexual harassment	0	0
Meghalaya	2004	Sexual harassment	0	0
Mizoram	2004	Sexual harassment	0	0
Nagaland	2004	Sexual harassment	0	1
Odisha	2004	Sexual harassment	24	170
Puducherry	2004	Sexual harassment	8	30
Punjab	2004	Sexual harassment	61	38
Rajasthan	2004	Sexual harassment	28	41
Sikkim	2004	Sexual harassment	0	0
Tamil Nadu	2004	Sexual harassment	704	1081
Tripura	2004	Sexual harassment	0	0
Uttar Pradesh	2004	Sexual harassment	1849	2682
Uttarakhand	2004	Sexual harassment	48	110
West Bengal	2004	Sexual harassment	3	64
Andaman & Nicobar Islands	2005	Sexual harassment	0	1
Andhra Pradesh	2005	Sexual harassment	1030	2508
Arunachal Pradesh	2005	Sexual harassment	0	0
Assam	2005	Sexual harassment	1	19
Bihar	2005	Sexual harassment	1	13
Chandigarh	2005	Sexual harassment	1	9
Chhattisgarh	2005	Sexual harassment	40	132
Dadra & Nagar Haveli	2005	Sexual harassment	0	0
Daman & Diu	2005	Sexual harassment	0	0
Delhi	2005	Sexual harassment	18	225
Goa	2005	Sexual harassment	0	8
Gujarat	2005	Sexual harassment	12	104
Haryana	2005	Sexual harassment	343	597
Himachal Pradesh	2005	Sexual harassment	3	29
Jammu & Kashmir	2005	Sexual harassment	74	371
Jharkhand	2005	Sexual harassment	7	36
Karnataka	2005	Sexual harassment	3	71
Kerala	2005	Sexual harassment	21	175
Lakshadweep	2005	Sexual harassment	0	0
Madhya Pradesh	2005	Sexual harassment	189	792
Maharashtra	2005	Sexual harassment	35	919
Manipur	2005	Sexual harassment	0	0
Meghalaya	2005	Sexual harassment	0	0
Mizoram	2005	Sexual harassment	0	4
Nagaland	2005	Sexual harassment	0	0
Odisha	2005	Sexual harassment	11	184
Puducherry	2005	Sexual harassment	14	26
Punjab	2005	Sexual harassment	6	43
Rajasthan	2005	Sexual harassment	17	28
Sikkim	2005	Sexual harassment	0	0
Tamil Nadu	2005	Sexual harassment	419	665
Tripura	2005	Sexual harassment	0	1
Uttar Pradesh	2005	Sexual harassment	1834	2881
Uttarakhand	2005	Sexual harassment	30	89
West Bengal	2005	Sexual harassment	3	54
Andaman & Nicobar Islands	2006	Sexual harassment	0	4
Andhra Pradesh	2006	Sexual harassment	655	2411
Arunachal Pradesh	2006	Sexual harassment	0	2
Assam	2006	Sexual harassment	1	10
Bihar	2006	Sexual harassment	5	53
Chandigarh	2006	Sexual harassment	3	13
Chhattisgarh	2006	Sexual harassment	27	143
Dadra & Nagar Haveli	2006	Sexual harassment	0	1
Daman & Diu	2006	Sexual harassment	0	0
Delhi	2006	Sexual harassment	19	144
Goa	2006	Sexual harassment	0	7
Gujarat	2006	Sexual harassment	15	138
Haryana	2006	Sexual harassment	342	491
Himachal Pradesh	2006	Sexual harassment	5	31
Jammu & Kashmir	2006	Sexual harassment	82	347
Jharkhand	2006	Sexual harassment	5	44
Karnataka	2006	Sexual harassment	9	38
Kerala	2006	Sexual harassment	16	222
Lakshadweep	2006	Sexual harassment	0	0
Madhya Pradesh	2006	Sexual harassment	259	762
Maharashtra	2006	Sexual harassment	41	984
Manipur	2006	Sexual harassment	0	0
Meghalaya	2006	Sexual harassment	0	0
Mizoram	2006	Sexual harassment	3	0
Nagaland	2006	Sexual harassment	1	2
Odisha	2006	Sexual harassment	20	247
Puducherry	2006	Sexual harassment	9	39
Punjab	2006	Sexual harassment	19	60
Rajasthan	2006	Sexual harassment	16	31
Sikkim	2006	Sexual harassment	0	0
Tamil Nadu	2006	Sexual harassment	203	852
Tripura	2006	Sexual harassment	0	0
Uttar Pradesh	2006	Sexual harassment	1716	2714
Uttarakhand	2006	Sexual harassment	35	113
West Bengal	2006	Sexual harassment	16	63
Andaman & Nicobar Islands	2007	Sexual harassment	0	2
Andhra Pradesh	2007	Sexual harassment	917	3316
Arunachal Pradesh	2007	Sexual harassment	0	1
Assam	2007	Sexual harassment	2	10
Bihar	2007	Sexual harassment	2	12
Chandigarh	2007	Sexual harassment	0	11
Chhattisgarh	2007	Sexual harassment	26	111
Dadra & Nagar Haveli	2007	Sexual harassment	0	0
Daman & Diu	2007	Sexual harassment	0	0
Delhi	2007	Sexual harassment	44	167
Goa	2007	Sexual harassment	1	7
Gujarat	2007	Sexual harassment	11	120
Haryana	2007	Sexual harassment	229	409
Himachal Pradesh	2007	Sexual harassment	1	33
Jammu & Kashmir	2007	Sexual harassment	83	353
Jharkhand	2007	Sexual harassment	0	15
Karnataka	2007	Sexual harassment	10	28
Kerala	2007	Sexual harassment	13	262
Lakshadweep	2007	Sexual harassment	0	0
Madhya Pradesh	2007	Sexual harassment	263	780
Maharashtra	2007	Sexual harassment	31	1039
Manipur	2007	Sexual harassment	0	0
Meghalaya	2007	Sexual harassment	0	1
Mizoram	2007	Sexual harassment	0	0
Nagaland	2007	Sexual harassment	0	1
Odisha	2007	Sexual harassment	14	241
Puducherry	2007	Sexual harassment	13	32
Punjab	2007	Sexual harassment	16	48
Rajasthan	2007	Sexual harassment	14	28
Sikkim	2007	Sexual harassment	0	0
Tamil Nadu	2007	Sexual harassment	302	875
Tripura	2007	Sexual harassment	0	4
Uttar Pradesh	2007	Sexual harassment	1649	2882
Uttarakhand	2007	Sexual harassment	50	63
West Bengal	2007	Sexual harassment	17	99
Andaman & Nicobar Islands	2008	Sexual harassment	0	3
Andhra Pradesh	2008	Sexual harassment	569	3551
Arunachal Pradesh	2008	Sexual harassment	0	1
Assam	2008	Sexual harassment	0	2
Bihar	2008	Sexual harassment	3	21
Chandigarh	2008	Sexual harassment	6	2
Chhattisgarh	2008	Sexual harassment	27	125
Dadra & Nagar Haveli	2008	Sexual harassment	0	0
Daman & Diu	2008	Sexual harassment	0	1
Delhi	2008	Sexual harassment	57	130
Goa	2008	Sexual harassment	0	12
Gujarat	2008	Sexual harassment	5	122
Haryana	2008	Sexual harassment	381	605
Himachal Pradesh	2008	Sexual harassment	5	41
Jammu & Kashmir	2008	Sexual harassment	69	296
Jharkhand	2008	Sexual harassment	1	23
Karnataka	2008	Sexual harassment	10	44
Kerala	2008	Sexual harassment	35	258
Lakshadweep	2008	Sexual harassment	0	0
Madhya Pradesh	2008	Sexual harassment	290	758
Maharashtra	2008	Sexual harassment	70	1091
Manipur	2008	Sexual harassment	0	0
Meghalaya	2008	Sexual harassment	0	4
Mizoram	2008	Sexual harassment	0	0
Nagaland	2008	Sexual harassment	1	1
Odisha	2008	Sexual harassment	17	282
Puducherry	2008	Sexual harassment	9	21
Punjab	2008	Sexual harassment	18	49
Rajasthan	2008	Sexual harassment	14	19
Sikkim	2008	Sexual harassment	0	0
Tamil Nadu	2008	Sexual harassment	317	974
Tripura	2008	Sexual harassment	2	4
Uttar Pradesh	2008	Sexual harassment	2130	3374
Uttarakhand	2008	Sexual harassment	72	306
West Bengal	2008	Sexual harassment	20	94
Andaman & Nicobar Islands	2009	Sexual harassment	0	7
Andhra Pradesh	2009	Sexual harassment	613	3520
Arunachal Pradesh	2009	Sexual harassment	0	6
Assam	2009	Sexual harassment	3	10
Bihar	2009	Sexual harassment	0	12
Chandigarh	2009	Sexual harassment	4	2
Chhattisgarh	2009	Sexual harassment	26	152
Dadra & Nagar Haveli	2009	Sexual harassment	0	1
Daman & Diu	2009	Sexual harassment	0	1
Delhi	2009	Sexual harassment	53	118
Goa	2009	Sexual harassment	0	10
Gujarat	2009	Sexual harassment	14	114
Haryana	2009	Sexual harassment	358	605
Himachal Pradesh	2009	Sexual harassment	1	37
Jammu & Kashmir	2009	Sexual harassment	99	371
Jharkhand	2009	Sexual harassment	11	83
Karnataka	2009	Sexual harassment	1	64
Kerala	2009	Sexual harassment	58	395
Lakshadweep	2009	Sexual harassment	0	0
Madhya Pradesh	2009	Sexual harassment	221	728
Maharashtra	2009	Sexual harassment	22	1099
Manipur	2009	Sexual harassment	0	2
Meghalaya	2009	Sexual harassment	1	1
Mizoram	2009	Sexual harassment	0	1
Nagaland	2009	Sexual harassment	0	0
Odisha	2009	Sexual harassment	15	210
Puducherry	2009	Sexual harassment	6	16
Punjab	2009	Sexual harassment	13	33
Rajasthan	2009	Sexual harassment	9	24
Sikkim	2009	Sexual harassment	0	0
Tamil Nadu	2009	Sexual harassment	296	501
Tripura	2009	Sexual harassment	0	5
Uttar Pradesh	2009	Sexual harassment	1838	2524
Uttarakhand	2009	Sexual harassment	98	249
West Bengal	2009	Sexual harassment	24	108
Andaman & Nicobar Islands	2010	Sexual harassment	0	10
Andhra Pradesh	2010	Sexual harassment	731	4562
Arunachal Pradesh	2010	Sexual harassment	0	1
Assam	2010	Sexual harassment	3	20
Bihar	2010	Sexual harassment	0	16
Chandigarh	2010	Sexual harassment	8	4
Chhattisgarh	2010	Sexual harassment	31	182
Dadra & Nagar Haveli	2010	Sexual harassment	0	2
Daman & Diu	2010	Sexual harassment	0	0
Delhi	2010	Sexual harassment	47	80
Goa	2010	Sexual harassment	2	16
Gujarat	2010	Sexual harassment	9	110
Haryana	2010	Sexual harassment	334	580
Himachal Pradesh	2010	Sexual harassment	1	78
Jammu & Kashmir	2010	Sexual harassment	100	262
Jharkhand	2010	Sexual harassment	3	16
Karnataka	2010	Sexual harassment	0	83
Kerala	2010	Sexual harassment	70	537
Lakshadweep	2010	Sexual harassment	0	0
Madhya Pradesh	2010	Sexual harassment	309	918
Maharashtra	2010	Sexual harassment	34	1180
Manipur	2010	Sexual harassment	0	0
Meghalaya	2010	Sexual harassment	0	0
Mizoram	2010	Sexual harassment	1	0
Nagaland	2010	Sexual harassment	0	3
Odisha	2010	Sexual harassment	11	232
Puducherry	2010	Sexual harassment	2	22
Punjab	2010	Sexual harassment	13	38
Rajasthan	2010	Sexual harassment	9	23
Sikkim	2010	Sexual harassment	0	0
Tamil Nadu	2010	Sexual harassment	417	638
Tripura	2010	Sexual harassment	0	9
Uttar Pradesh	2010	Sexual harassment	1951	11
Uttarakhand	2010	Sexual harassment	244	165
West Bengal	2010	Sexual harassment	37	163
Andaman & Nicobar Islands	2001	Cruelty by Husband and Relatives	0	9
Andhra Pradesh	2001	Cruelty by Husband and Relatives	762	5791
Arunachal Pradesh	2001	Cruelty by Husband and Relatives	1	11
Assam	2001	Cruelty by Husband and Relatives	42	1248
Bihar	2001	Cruelty by Husband and Relatives	165	1558
Chandigarh	2001	Cruelty by Husband and Relatives	2	36
Chhattisgarh	2001	Cruelty by Husband and Relatives	87	840
Dadra & Nagar Haveli	2001	Cruelty by Husband and Relatives	0	4
Daman & Diu	2001	Cruelty by Husband and Relatives	0	4
Delhi	2001	Cruelty by Husband and Relatives	67	138
Goa	2001	Cruelty by Husband and Relatives	1	11
Gujarat	2001	Cruelty by Husband and Relatives	46	3667
Haryana	2001	Cruelty by Husband and Relatives	57	1513
Himachal Pradesh	2001	Cruelty by Husband and Relatives	6	317
Jammu & Kashmir	2001	Cruelty by Husband and Relatives	0	50
Jharkhand	2001	Cruelty by Husband and Relatives	60	484
Karnataka	2001	Cruelty by Husband and Relatives	52	1755
Kerala	2001	Cruelty by Husband and Relatives	91	2561
Lakshadweep	2001	Cruelty by Husband and Relatives	0	0
Madhya Pradesh	2001	Cruelty by Husband and Relatives	590	2562
Maharashtra	2001	Cruelty by Husband and Relatives	228	6090
Manipur	2001	Cruelty by Husband and Relatives	0	5
Meghalaya	2001	Cruelty by Husband and Relatives	0	4
Mizoram	2001	Cruelty by Husband and Relatives	0	16
Nagaland	2001	Cruelty by Husband and Relatives	0	0
Odisha	2001	Cruelty by Husband and Relatives	108	1266
Puducherry	2001	Cruelty by Husband and Relatives	0	3
Punjab	2001	Cruelty by Husband and Relatives	62	1128
Rajasthan	2001	Cruelty by Husband and Relatives	751	5532
Sikkim	2001	Cruelty by Husband and Relatives	0	0
Tamil Nadu	2001	Cruelty by Husband and Relatives	174	815
