Area_Name	Year	Group_Name	Cases_Convicted	Cases_Reported
Daman & Diu	2005	Rape	0	2
Delhi	2005	Rape	140	658
Goa	2005	Rape	7	20
Gujarat	2005	Rape	37	324
Haryana	2005	Rape	96	461
Himachal Pradesh	2005	Rape	24	141
Jammu & Kashmir	2005	Rape	5	201
Jharkhand	2005	Rape	117	753
Karnataka	2005	Rape	87	343
Kerala	2005	Rape	48	478
Lakshadweep	2005	Rape	0	0
Madhya Pradesh	2005	Rape	702	2921
Maharashtra	2005	Rape	177	1545
Manipur	2005	Rape	0	25
Meghalaya	2005	Rape	2	63
Mizoram	2005	Rape	15	37
Nagaland	2005	Rape	15	17
Odisha	2005	Rape	114	799
Puducherry	2005	Rape	3	6
Punjab	2005	Rape	71	398
Rajasthan	2005	Rape	227	993
Sikkim	2005	Rape	3	18
Tamil Nadu	2005	Rape	141	571
Tripura	2005	Rape	35	162
Uttar Pradesh	2005	Rape	657	1217
Uttarakhand	2005	Rape	21	133
West Bengal	2005	Rape	74	1686
Andaman & Nicobar Islands	2006	Rape	1	6
Andhra Pradesh	2006	Rape	154	1049
Arunachal Pradesh	2006	Rape	1	37
Assam	2006	Rape	176	1244
Bihar	2006	Rape	178	1232
Chandigarh	2006	Rape	9	19
Chhattisgarh	2006	Rape	235	995
Dadra & Nagar Haveli	2006	Rape	1	6
Daman & Diu	2006	Rape	1	3
Delhi	2006	Rape	152	623
Goa	2006	Rape	0	21
Gujarat	2006	Rape	50	354
Haryana	2006	Rape	97	608
Himachal Pradesh	2006	Rape	27	113
Jammu & Kashmir	2006	Rape	13	250
Jharkhand	2006	Rape	185	799
Karnataka	2006	Rape	51	400
Kerala	2006	Rape	58	601
Lakshadweep	2006	Rape	0	0
Madhya Pradesh	2006	Rape	748	2900
Maharashtra	2006	Rape	163	1500
Manipur	2006	Rape	0	40
Meghalaya	2006	Rape	2	74
Mizoram	2006	Rape	68	72
Nagaland	2006	Rape	11	23
Odisha	2006	Rape	135	985
Puducherry	2006	Rape	1	9
Punjab	2006	Rape	90	442
Rajasthan	2006	Rape	262	1085
Sikkim	2006	Rape	1	20
Tamil Nadu	2006	Rape	108	457
Tripura	2006	Rape	25	189
Uttar Pradesh	2006	Rape	637	1314
Uttarakhand	2006	Rape	29	147
West Bengal	2006	Rape	137	1731
Andaman & Nicobar Islands	2007	Rape	1	3
